,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MSFT230414C00170000,2023-03-29 14:09:13+00:00,170.0,110.13,119.8,123.2,0.0,0.0,2.0,2.0,2.2417036145019527,True,REGULAR,USD
1,MSFT230414C00175000,2023-03-29 14:09:13+00:00,175.0,105.12,114.6,118.2,0.0,0.0,2.0,2.0,2.138676528320312,True,REGULAR,USD
2,MSFT230414C00180000,2023-04-05 19:48:40+00:00,180.0,104.67,109.65,113.2,0.0,0.0,2.0,2.0,2.038579122314453,True,REGULAR,USD
3,MSFT230414C00200000,2023-03-27 14:58:58+00:00,200.0,79.0,89.55,93.25,0.0,0.0,1.0,2.0,1.6713883618164065,True,REGULAR,USD
4,MSFT230414C00210000,2023-04-04 15:10:22+00:00,210.0,78.41,79.55,83.25,0.0,0.0,,10.0,1.4926783178710936,True,REGULAR,USD
5,MSFT230414C00215000,2023-03-31 19:55:30+00:00,215.0,75.55,74.7,78.15,0.0,0.0,20.0,5.0,1.3857452587890622,True,REGULAR,USD
6,MSFT230414C00220000,2023-04-06 17:23:20+00:00,220.0,68.79,69.7,73.25,14.490002,26.685085,5.0,202.0,1.3203158984374999,True,REGULAR,USD
7,MSFT230414C00225000,2023-03-07 18:19:33+00:00,225.0,32.45,64.75,68.2,0.0,0.0,2.0,2.0,1.2265663671875,True,REGULAR,USD
8,MSFT230414C00230000,2023-04-06 18:53:42+00:00,230.0,60.93,59.85,63.1,4.970001,8.881346,17.0,211.0,1.1259809326171877,True,REGULAR,USD
9,MSFT230414C00235000,2023-04-03 13:30:06+00:00,235.0,51.2,54.7,58.3,0.0,0.0,7.0,21.0,1.0783737487792968,True,REGULAR,USD
10,MSFT230414C00240000,2023-04-06 19:40:09+00:00,240.0,52.4,49.7,53.3,6.1000023,13.174952,36.0,158.0,0.9965820654296875,True,REGULAR,USD
11,MSFT230414C00242500,2023-04-06 18:29:08+00:00,242.5,47.94,47.1,50.85,0.9599991,2.0434208,1.0,1.0,0.9633792724609375,True,REGULAR,USD
12,MSFT230414C00245000,2023-04-06 15:38:29+00:00,245.0,40.62,44.7,48.35,-3.9000015,-8.760111,2.0,44.0,0.9223640576171875,True,REGULAR,USD
13,MSFT230414C00250000,2023-04-06 18:03:12+00:00,250.0,41.2,39.8,43.2,5.130001,14.222349,17.0,339.0,0.8205584350585937,True,REGULAR,USD
14,MSFT230414C00252500,2023-04-06 18:33:49+00:00,252.5,38.25,37.25,40.8,6.950001,22.204475,4.0,32.0,0.7941915112304687,True,REGULAR,USD
15,MSFT230414C00255000,2023-04-06 18:58:15+00:00,255.0,35.84,34.9,38.1,4.7800007,15.38957,20.0,476.0,0.727541787109375,True,REGULAR,USD
16,MSFT230414C00257500,2023-04-06 19:38:39+00:00,257.5,34.75,32.3,35.7,7.700001,28.465807,16.0,39.0,0.7009307250976562,True,REGULAR,USD
17,MSFT230414C00260000,2023-04-06 19:48:50+00:00,260.0,32.14,29.75,32.8,6.9399986,27.539677,60.0,941.0,0.6091347680664063,True,REGULAR,USD
18,MSFT230414C00262500,2023-04-06 19:38:40+00:00,262.5,29.89,27.5,30.75,7.6499996,34.39748,21.0,28.0,0.6269568554687501,True,REGULAR,USD
19,MSFT230414C00265000,2023-04-06 19:59:53+00:00,265.0,27.11,25.1,28.5,6.9300003,34.340935,481.0,1411.0,0.6137733935546876,True,REGULAR,USD
20,MSFT230414C00267500,2023-04-06 19:57:54+00:00,267.5,24.3,22.35,26.0,6.2699986,34.775364,473.0,1188.0,0.5719036950683594,True,REGULAR,USD
21,MSFT230414C00270000,2023-04-06 19:59:01+00:00,270.0,21.45,20.1,22.75,5.8500004,37.500004,148.0,3922.0,0.450200810546875,True,REGULAR,USD
22,MSFT230414C00272500,2023-04-06 19:58:11+00:00,272.5,19.53,18.7,20.5,6.460001,49.426174,105.0,617.0,0.4382380395507813,True,REGULAR,USD
23,MSFT230414C00275000,2023-04-06 19:57:52+00:00,275.0,17.08,16.55,18.25,6.2299995,57.41935,1082.0,2222.0,0.42139250488281255,True,REGULAR,USD
24,MSFT230414C00277500,2023-04-06 19:48:45+00:00,277.5,14.8,13.7,15.7,6.1800003,71.69374,586.0,1024.0,0.3742738354492187,True,REGULAR,USD
25,MSFT230414C00280000,2023-04-06 19:59:53+00:00,280.0,12.81,12.1,13.8,5.7100005,80.42255,1455.0,2861.0,0.3789124609375,True,REGULAR,USD
26,MSFT230414C00282500,2023-04-06 19:55:57+00:00,282.5,10.25,9.6,11.2,4.75,86.36364,1866.0,1643.0,0.32398136962890617,True,REGULAR,USD
27,MSFT230414C00285000,2023-04-06 19:59:38+00:00,285.0,8.3,8.15,8.45,4.25,104.93827,6107.0,3202.0,0.2573316455078125,True,REGULAR,USD
28,MSFT230414C00287500,2023-04-06 19:59:45+00:00,287.5,6.57,6.3,6.6,3.7500002,132.97874,5681.0,2999.0,0.24781025634765624,True,REGULAR,USD
29,MSFT230414C00290000,2023-04-06 19:59:56+00:00,290.0,4.8,4.8,4.95,2.8700004,148.70468,12508.0,3313.0,0.2387771435546875,True,REGULAR,USD
30,MSFT230414C00292500,2023-04-06 19:59:49+00:00,292.5,3.52,3.45,3.6,2.24,175.0,12615.0,2119.0,0.23389437988281248,False,REGULAR,USD
31,MSFT230414C00295000,2023-04-06 19:59:52+00:00,295.0,2.42,2.38,2.47,1.57,184.70589,12420.0,3542.0,0.2274247180175781,False,REGULAR,USD
32,MSFT230414C00297500,2023-04-06 19:59:54+00:00,297.5,1.6,1.6,1.65,1.08,207.6923,4501.0,1634.0,0.22486126708984372,False,REGULAR,USD
33,MSFT230414C00300000,2023-04-06 19:59:58+00:00,300.0,1.05,1.03,1.05,0.7099999,208.82352,14854.0,3131.0,0.22266402343749997,False,REGULAR,USD
34,MSFT230414C00302500,2023-04-06 19:59:58+00:00,302.5,0.66,0.63,0.69,0.43,186.95653,1634.0,639.0,0.22632609619140626,False,REGULAR,USD
35,MSFT230414C00305000,2023-04-06 19:59:46+00:00,305.0,0.4,0.4,0.43,0.24000001,150.00002,3788.0,2949.0,0.2280350634765625,False,REGULAR,USD
36,MSFT230414C00307500,2023-04-06 19:59:47+00:00,307.5,0.27,0.24,0.27,0.16000001,145.45456,651.0,406.0,0.23169713623046873,False,REGULAR,USD
37,MSFT230414C00310000,2023-04-06 19:59:45+00:00,310.0,0.17,0.16,0.17,0.1,142.85715,1689.0,1843.0,0.23633576171874998,False,REGULAR,USD
38,MSFT230414C00312500,2023-04-06 19:58:52+00:00,312.5,0.11,0.1,0.11,0.06,119.99999,1563.0,213.0,0.242195078125,False,REGULAR,USD
39,MSFT230414C00315000,2023-04-06 19:59:48+00:00,315.0,0.07,0.07,0.08,0.02,39.999996,1250.0,1090.0,0.25196060546875,False,REGULAR,USD
40,MSFT230414C00317500,2023-04-06 19:59:01+00:00,317.5,0.06,0.04,0.07,0.03,100.0,221.0,98.0,0.26856200195312496,False,REGULAR,USD
41,MSFT230414C00320000,2023-04-06 19:58:52+00:00,320.0,0.05,0.03,0.05,0.04,400.0,380.0,773.0,0.27637442382812494,False,REGULAR,USD
42,MSFT230414C00322500,2023-04-06 19:38:21+00:00,322.5,0.02,0.0,0.05,0.0,0.0,45.0,81.0,0.29688203124999996,False,REGULAR,USD
43,MSFT230414C00325000,2023-04-06 16:02:31+00:00,325.0,0.02,0.0,0.04,-0.01,-33.333336,3.0,287.0,0.30664755859375,False,REGULAR,USD
44,MSFT230414C00327500,2023-04-06 18:47:32+00:00,327.5,0.03,0.0,0.04,0.01,50.0,3.0,,0.32617861328125,False,REGULAR,USD
45,MSFT230414C00330000,2023-04-06 19:41:28+00:00,330.0,0.01,0.0,0.02,0.0,0.0,20.0,106.0,0.32031929687499994,False,REGULAR,USD
46,MSFT230414C00335000,2023-04-06 19:44:57+00:00,335.0,0.01,0.0,0.01,-0.01,-50.0,12.0,200.0,0.32813171874999997,False,REGULAR,USD
47,MSFT230414C00340000,2023-04-06 16:47:43+00:00,340.0,0.01,0.0,0.03,-0.02,-66.66667,1.0,641.0,0.4023497265625,False,REGULAR,USD
48,MSFT230414C00345000,2023-03-27 18:17:55+00:00,345.0,0.1,0.0,0.03,0.0,0.0,1.0,50.0,0.437505625,False,REGULAR,USD
49,MSFT230414C00350000,2023-04-06 19:06:56+00:00,350.0,0.03,0.0,0.18,-0.01,-25.0,1.0,372.0,0.534184345703125,False,REGULAR,USD
0,MSFT230414P00150000,2023-04-03 19:37:32+00:00,150.0,0.01,0.0,0.05,0.0,0.0,16.0,103.0,1.5468772656249998,False,REGULAR,USD
1,MSFT230414P00160000,2023-04-05 16:07:56+00:00,160.0,0.01,0.0,0.01,0.0,0.0,1.0,20.0,1.21875390625,False,REGULAR,USD
2,MSFT230414P00165000,2023-04-04 19:13:47+00:00,165.0,0.03,,0.5,0.0,0.0,,1.0,1.9082035839843752,False,REGULAR,USD
3,MSFT230414P00170000,2023-03-10 19:45:45+00:00,170.0,0.19,0.0,0.5,0.0,0.0,,3.0,1.642579912109375,False,REGULAR,USD
4,MSFT230414P00175000,2023-03-27 19:26:05+00:00,175.0,0.02,0.0,0.03,0.0,0.0,104.0,116.0,1.15625421875,False,REGULAR,USD
5,MSFT230414P00180000,2023-03-27 15:50:59+00:00,180.0,0.02,0.0,0.11,0.0,0.0,10.0,41.0,1.2382850585937497,False,REGULAR,USD
6,MSFT230414P00185000,2023-04-06 19:36:36+00:00,185.0,0.05,0.0,0.11,0.010000002,25.000006,1.0,19.0,1.171879140625,False,REGULAR,USD
7,MSFT230414P00190000,2023-04-06 13:32:54+00:00,190.0,0.03,0.0,0.11,0.02,200.0,1.0,267.0,1.109379453125,False,REGULAR,USD
8,MSFT230414P00195000,2023-03-31 19:30:44+00:00,195.0,0.02,0.0,0.27,0.0,0.0,361.0,616.0,1.1640666796875,False,REGULAR,USD
9,MSFT230414P00200000,2023-04-05 18:51:27+00:00,200.0,0.01,0.0,0.01,0.0,0.0,2.0,443.0,0.7812521875,False,REGULAR,USD
10,MSFT230414P00205000,2023-04-06 14:51:52+00:00,205.0,0.02,0.0,0.08,-0.04,-66.66667,3.0,132.0,0.8984385156249999,False,REGULAR,USD
11,MSFT230414P00210000,2023-04-06 16:56:42+00:00,210.0,0.01,0.0,0.01,-0.04,-79.99999,45.0,656.0,0.6875031250000001,False,REGULAR,USD
12,MSFT230414P00215000,2023-04-06 19:46:53+00:00,215.0,0.01,0.0,0.01,0.0,0.0,11.0,495.0,0.6562534375000001,False,REGULAR,USD
13,MSFT230414P00220000,2023-04-06 19:47:25+00:00,220.0,0.01,0.0,0.01,-0.02,-66.66667,5.0,510.0,0.5937540625000001,False,REGULAR,USD
14,MSFT230414P00225000,2023-04-06 19:43:16+00:00,225.0,0.01,0.0,0.01,-0.01,-50.0,69.0,657.0,0.5625043750000001,False,REGULAR,USD
15,MSFT230414P00230000,2023-04-06 18:16:30+00:00,230.0,0.03,0.01,0.02,0.0,0.0,607.0,1422.0,0.5664105859375,False,REGULAR,USD
16,MSFT230414P00235000,2023-04-06 19:12:23+00:00,235.0,0.03,0.01,0.03,-0.01,-25.0,21.0,591.0,0.5351608984375,False,REGULAR,USD
17,MSFT230414P00240000,2023-04-06 19:46:00+00:00,240.0,0.02,0.02,0.03,-0.02,-50.0,28.0,698.0,0.500005,False,REGULAR,USD
18,MSFT230414P00242500,2023-04-06 14:17:58+00:00,242.5,0.05,0.0,0.03,-0.009999998,-16.666664,7.0,1003.0,0.48438015625,False,REGULAR,USD
19,MSFT230414P00245000,2023-04-06 18:55:48+00:00,245.0,0.04,0.02,0.15,-0.02,-33.333336,35.0,754.0,0.5214891601562499,False,REGULAR,USD
20,MSFT230414P00247500,2023-04-06 18:09:07+00:00,247.5,0.03,0.01,0.04,-0.03,-50.0,42.0,10.0,0.44922425781249997,False,REGULAR,USD
21,MSFT230414P00250000,2023-04-06 19:59:53+00:00,250.0,0.04,0.02,0.07,-0.04,-50.0,484.0,3251.0,0.45508357421875,False,REGULAR,USD
22,MSFT230414P00252500,2023-04-06 19:27:24+00:00,252.5,0.04,0.01,0.04,-0.050000004,-55.555557,134.0,1530.0,0.40039662109375,False,REGULAR,USD
23,MSFT230414P00255000,2023-04-06 19:55:23+00:00,255.0,0.05,0.03,0.07,-0.05,-50.0,620.0,2584.0,0.40430283203125,False,REGULAR,USD
24,MSFT230414P00257500,2023-04-06 19:54:30+00:00,257.5,0.03,0.04,0.09,-0.120000005,-80.0,332.0,504.0,0.39063109375,False,REGULAR,USD
25,MSFT230414P00260000,2023-04-06 19:50:19+00:00,260.0,0.05,0.05,0.06,-0.13000001,-72.22223,789.0,2195.0,0.344733115234375,False,REGULAR,USD
26,MSFT230414P00262500,2023-04-06 19:59:50+00:00,262.5,0.07,0.07,0.08,-0.19,-73.07693,1009.0,658.0,0.33301448242187504,False,REGULAR,USD
27,MSFT230414P00265000,2023-04-06 19:59:53+00:00,265.0,0.09,0.07,0.1,-0.22,-70.96774,2005.0,1909.0,0.317389638671875,False,REGULAR,USD
28,MSFT230414P00267500,2023-04-06 19:58:49+00:00,267.5,0.11,0.11,0.13,-0.32999998,-74.99999,1738.0,839.0,0.30274134765625,False,REGULAR,USD
29,MSFT230414P00270000,2023-04-06 19:59:58+00:00,270.0,0.15,0.14,0.15,-0.46,-75.409836,2250.0,1984.0,0.282233740234375,False,REGULAR,USD
30,MSFT230414P00272500,2023-04-06 19:59:51+00:00,272.5,0.23,0.21,0.24,-0.62,-72.94117,2118.0,1373.0,0.2778392529296875,False,REGULAR,USD
31,MSFT230414P00275000,2023-04-06 19:59:55+00:00,275.0,0.33,0.32,0.38,-0.88,-72.72727,4226.0,2597.0,0.2739330419921875,False,REGULAR,USD
32,MSFT230414P00277500,2023-04-06 19:59:53+00:00,277.5,0.47,0.45,0.49,-1.27,-72.9885,2542.0,2508.0,0.25708750732421876,False,REGULAR,USD
33,MSFT230414P00280000,2023-04-06 19:59:50+00:00,280.0,0.72,0.68,0.72,-1.6299999,-69.3617,8500.0,6139.0,0.24890887817382812,False,REGULAR,USD
34,MSFT230414P00282500,2023-04-06 19:59:56+00:00,282.5,1.06,1.02,1.06,-2.14,-66.87501,8701.0,3013.0,0.24195093994140626,False,REGULAR,USD
35,MSFT230414P00285000,2023-04-06 19:59:55+00:00,285.0,1.52,1.49,1.6,-2.73,-64.23529,13367.0,4127.0,0.2395095581054687,False,REGULAR,USD
36,MSFT230414P00287500,2023-04-06 19:59:53+00:00,287.5,2.21,2.15,2.36,-3.44,-60.88496,7072.0,2410.0,0.23902128173828124,False,REGULAR,USD
37,MSFT230414P00290000,2023-04-06 19:59:59+00:00,290.0,3.1,3.0,3.1,-3.9900002,-56.276447,8692.0,2010.0,0.22400678344726557,False,REGULAR,USD
38,MSFT230414P00292500,2023-04-06 19:59:06+00:00,292.5,4.25,4.15,4.35,-4.8500004,-53.296703,2519.0,877.0,0.22516643981933593,True,REGULAR,USD
39,MSFT230414P00295000,2023-04-06 19:59:14+00:00,295.0,5.67,5.6,5.8,-5.58,-49.6,980.0,666.0,0.22315229980468748,True,REGULAR,USD
40,MSFT230414P00297500,2023-04-06 19:57:21+00:00,297.5,7.45,7.2,7.5,-6.2,-45.421246,848.0,520.0,0.22144333251953124,True,REGULAR,USD
41,MSFT230414P00300000,2023-04-06 19:56:37+00:00,300.0,9.55,8.9,9.55,-6.2200003,-39.44198,632.0,417.0,0.2309647216796875,True,REGULAR,USD
42,MSFT230414P00302500,2023-04-06 19:58:04+00:00,302.5,11.5,10.9,12.6,-6.67,-36.708862,75.0,219.0,0.3147041186523437,True,REGULAR,USD
43,MSFT230414P00305000,2023-04-06 19:11:17+00:00,305.0,14.02,12.1,15.25,-5.379999,-27.731955,18.0,5.0,0.36646141357421874,True,REGULAR,USD
44,MSFT230414P00307500,2023-04-04 18:19:36+00:00,307.5,20.1,14.95,18.15,0.0,0.0,30.0,42.0,0.437505625,True,REGULAR,USD
45,MSFT230414P00310000,2023-04-06 19:25:38+00:00,310.0,18.56,17.2,20.6,-1.9400005,-9.463417,2.0,5.0,0.471684970703125,True,REGULAR,USD
46,MSFT230414P00315000,2023-03-30 17:24:21+00:00,315.0,33.1,22.5,25.55,0.0,0.0,,0.0,0.5397995239257813,True,REGULAR,USD
47,MSFT230414P00320000,2023-04-06 19:20:32+00:00,320.0,29.0,27.3,30.55,-1.3999996,-4.605262,35.0,0.0,0.6079140771484376,True,REGULAR,USD
48,MSFT230414P00325000,2023-03-22 18:03:24+00:00,325.0,47.11,31.95,35.55,0.0,0.0,,0.0,0.6728548339843752,True,REGULAR,USD
49,MSFT230414P00330000,2023-03-16 17:35:25+00:00,330.0,55.78,36.95,40.5,0.0,0.0,,0.0,0.7297390307617188,True,REGULAR,USD
50,MSFT230414P00335000,2023-04-05 19:21:01+00:00,335.0,51.0,41.95,45.55,0.0,0.0,2.0,1.0,0.5224657128906249,True,REGULAR,USD
51,MSFT230414P00350000,2023-03-07 19:53:11+00:00,350.0,96.28,56.95,60.55,0.0,0.0,,0.0,0.6528355029296876,True,REGULAR,USD
